Effect_en|category|Effect
cures diabetes and edema|Gastrointestinal Issues|治消渴
cures apoplexy-vertigo|Neurological and Mental Health|治中风头眩
cures wind mania and depression and pacifies heart qi|Neurological and Mental Health|治风狂
cures infantile convulsion epilepsy|Neurological and Mental Health|治惊风
cures [evil] foot qi|Others|治脚气
cures the various winds|Neurological and Mental Health|治诸风
this cures apoplexy|Neurological and Mental Health|治中风
this cures apoplexy|Neurological and Mental Health|治中风
this cures apoplexy|Neurological and Mental Health|治中风
this cures apoplexy|Neurological and Mental Health|治中风
this cures apoplexy|Neurological and Mental Health|治中风
this cures apoplexy|Neurological and Mental Health|治中风
this cures apoplexy|Neurological and Mental Health|治中风
cures recto-anal fistula|Gastrointestinal Issues|治久痔
cures recto-anal fistula|Gastrointestinal Issues|治久痔
cures recto-anal fistula|Gastrointestinal Issues|治久痔
