recipe_name|category|method|effect_category|ingredients|ingredient_category
Dried Beef|Meat|['Braise', 'Bake']|['Gastrointestinal Issues']|['lesser galangal', 'grain-of-paradise', 'tsaoko cardamom', 'prepared mandarin orange peel', 'long pepper', 'black pepper', 'Beef']|['spice' 'plant' 'chinese_medicinal_material' 'meat']
Lotus Seed Congee|Conge|['Boil']|['General Health and Wellness', 'Others']|['Lotus seeds']|plant
Euryale Fruits Congee|Conge|['Boil']|['Musculoskeletal Issues', 'General Health and Wellness', 'Others']|['Euryale fruits']|meat
Euryale Fruits Gruel Powder|Rice noodles|[]|['Others', 'Musculoskeletal Issues', 'General Health and Wellness']|['sheep’s spine', 'Euryale fruits']|meat
Peach Seed Congee|Conge|['Boil']|['Gastrointestinal Issues', 'Respiratory Issues']|['Peach seeds']|chinese_medicinal_material
Bream Gruel|Thick soup|['Boil', 'Pan-fry']|['Gastrointestinal Issues']|['long pepper', 'grain-of-paradise', 'prepared mandarin orange peel', 'Chinese flower pepper', 'black pepper', 'large garlic', 'Large bream']|['chinese_medicinal_material' 'plant' 'spice' 'seafood']
Roasted Yellow Flour|Noodles|[]|['Gastrointestinal Issues']|['White flour']|grain
Cheese Flour|Pancake|['Boil']|['Gastrointestinal Issues']|['Cheese']|[]
Broiled Yellow Chicken|Dish|['Broil']|['Gastrointestinal Issues']|['Yellow hen']|meat
Method for Cow’s Milk Decocted Long Pepper|Pan-fry|[]|['Gastrointestinal Issues']|[]|[]
Chinese Badger Meat Gruel|Meat|['Boil']|['Genitourinary Issues', 'Others', 'Gastrointestinal Issues']|['tsaoko cardamoms', 'onions', 'Chinese badger meat']|['vegetable' 'meat']
Yellow Hen|Dish|['Boil']|['Gastrointestinal Issues', 'Genitourinary Issues']|['adzuki beans [“Red Small Beans”]', 'tsaoko cardamom', 'Yellow hen']|['spice' 'meat']
Green[-headed] Duck [Male Mallard] Gruel|Thick soup|['Boil']|['Genitourinary Issues']|['tsaoko cardamoms', 'Green-headed duck']|meat
Chinese Radish Congee|Conge|['Boil']|['Gastrointestinal Issues']|['Large Chinese radish']|vegetable
Pheasant Gruel|Thick soup|[]|['Gastrointestinal Issues']|['Pheasant']|meat
Pigeon Gruel|Thick soup|['Boil']|['Gastrointestinal Issues', 'Others']|['White pigeon']|meat
Egg Yolk|Dish|[]|['Gastrointestinal Issues']|['Egg yolk']|meat
Chinese Mallow Gruel|Thick soup|['Stir-fry', 'Simmer', 'Boil']|['Gastrointestinal Issues', 'General Health and Wellness', 'Others']|['Mallow leaves']|plant
Carp Soup|Soup|['Braise', 'Boil']|['Gastrointestinal Issues', 'Genitourinary Issues', 'Others']|['finely ground Chinese flower pepper', 'Large young carp', 'tsaoko cardamom', 'Chinese flower pepper', 'prepared mandarin orange peel', 'adzuki beans', 'Large carp']|['seafood' 'spice' 'plant']
Purslane [Portulaca oleracea] Congee|Conge|['Boil']|['Others', 'Gastrointestinal Issues']|['Purslane']|vegetable
Wheat Congee|Conge|['Boil']|['Gastrointestinal Issues']|['Wheat']|grain
Donkey’s Head Gruel|Thick soup|['Boil']|['Neurological and Mental Health', 'Musculoskeletal Issues']|['tsaoko cardamom', 'black pepper', 'Black donkey’s head']|['spice' 'meat']
Donkey’s Meat Soup|Meat|['Boil']|['Neurological and Mental Health', 'Others']|['Meat of a black donkey']|meat
Fox Meat Gruel|Meat|['Boil']|['Neurological and Mental Health']|['Fox meat']|meat
Bear Meat Gruel|Meat|['Boil']|['Neurological and Mental Health', 'Others']|['Bear meat']|meat
Black Chicken Liquor|Dish|['Simmer', 'Boil']|['Neurological and Mental Health', 'Musculoskeletal Issues', 'Others', 'Heat-clearing']|['Black hen']|meat
Sheep’s Stomach Gruel|Thick soup|['Boil']|['Neurological and Mental Health']|['sprouting ginger', 'Chinese flower pepper [Sichuan Pepper]', 'salted fruits', 'green onions', 'non-glutinous rice', 'Sheep’s stomach']|['vegetable' 'spice' 'other' 'grain']
Kudzu Starch Gruel|Rice noodles|['Boil']|['Neurological and Mental Health', 'Gastrointestinal Issues', 'General Health and Wellness', 'Musculoskeletal Issues']|['salted fruits', 'Schizonepeta tenuifolia herb', 'Kudzu starch']|['other' 'plant' 'chinese_medicinal_material']
Schizonepeta tenuifolia Congee|Conge|['Boil']|['Neurological and Mental Health', 'General Health and Wellness', 'Others']|['white millet seeds', 'salted fruits', 'field mint leaves', 'S. tenuifolia herb']|['other' 'plant']
Hemp Seed Congee|Conge|['Boil']|['Neurological and Mental Health', 'Speech-related', 'Musculoskeletal Issues', 'Gastrointestinal Issues']|['Schizonepeta tenuifolia herb', 'field mint leaves', 'white millet grains', 'Hemp seeds [Cannabis sativa]']|['plant' 'grain' 'chinese_medicinal_material']
Burdock. (This is niupangzi. Another name is shuzhan zi.)|Dish|['Boil']|['Neurological and Mental Health', 'Gastrointestinal Issues', 'Musculoskeletal Issues', 'General Health and Wellness']|['liquid butter', 'Burdock [Arctium lappa] leaves']|['dairy_product' 'plant']
Black Donkey Skin Soup|Soup|['Steam', 'Boil']|['Neurological and Mental Health', 'Musculoskeletal Issues', 'Others']|['Black donkey’s skin']|chinese_medicinal_material
Sheep’s Head Hash|Dish|['Steam']|['Neurological and Mental Health', 'General Health and Wellness', 'Musculoskeletal Issues']|['White sheep’s head']|meat
Wild Pig Meat Broth|Dish|['Boil']|['Gastrointestinal Issues']|['Wild pig meat']|meat
Otter Liver Gruel|Thick soup|['Boil']|['Gastrointestinal Issues']|['Otter liver']|meat
Bream Soup|Thick soup|[]|['Gastrointestinal Issues']|['tsaoko cardamom', 'Jinese flower pepper', 'Large bream']|['spice' 'seafood']
Cassia Syrup|Thick liquid|[]|['Gastrointestinal Issues', 'General Health and Wellness', 'Others']|['crystallized honey', 'malted wheat', 'apricot kernels', 'finely ground yeast', 'cassia', 'red China root', 'boiled water', 'Sprouting ginger']|['other' 'grain' 'plant']
Cassia-Garuwood Syrup|Thick liquid|['Simmer']|['Others', 'Gastrointestinal Issues', 'General Health and Wellness']|['granulated sugar', 'black Chinese apricots', 'garuwood', 'Purple perilla leaves [Perilla frutescens var. crispa]']|chinese_medicinal_material
Lichee Paste|Paste|['Simmer']|['Gastrointestinal Issues', 'Others']|['cooked honey', 'juice of sprouting ginger', 'musk deer musk', 'crude granulated sugar', 'cassia', 'Black Chinese apricots']|['other' 'juice' 'chinese_medicinal_material' 'condiment' 'plant']
Oriental Flowering Apricot [Prunus mume] Pellet|Dish|[]|['Gastrointestinal Issues', 'Others']|['musk deer musk', 'sandalwood', 'liquorice', 'purple perilla leaves', 'dried Chinese quinces', 'salted oriental flowering apricots', 'Black [i.e. fresh] oriental flowering apricots']|['chinese_medicinal_material' 'fruit']
Red Currant Puree (Drink in Place of Grape Wine)|Soup|['Simmer']|['Gastrointestinal Issues']|['crude granulated sugar', 'ginseng', 'purple perilla leaves', 'Red currants [“northern schisandra”]']|['condiment' 'chinese_medicinal_material']
Ginseng Puree (Drink in Place of Liquor)|Soup|['Simmer']|['General Health and Wellness', 'Respiratory Issues', 'Gastrointestinal Issues']|['crude granulated sugar', 'purple perilla leaves', 'prepared mandarin orange peel', 'Korean ginseng']|['condiment' 'plant']
Immortal’s Tsangshu [Atractylodes chinensis and other A. spp] [Seed] Puree|Soup|[]|['Others', 'Gastrointestinal Issues']|['salt', 'dried jujubes', 'white flour', 'liquorice', 'fennel', 'Tsangshu']|['condiment' 'fruit' 'chinese_medicinal_material']
Apricot Frost Puree|Soup|[]|['Respiratory Issues']|['salt', 'apricot kernels', 'Millet grains']|['condiment' 'grain']
Chinese Yam [Dioscorea opposita] Puree|Soup|[]|['General Health and Wellness', 'Respiratory Issues']|['apricot kernels', 'millet grains', 'Chinese yams']|grain
“Four Harmonies Puree”|Soup|[]|['Gastrointestinal Issues']|['salt', 'fennel', 'sesame [seeds]', 'White flour']|['condiment' 'chinese_medicinal_material' 'grain']
Jujube [Zizyphus jujuba and other Z. spp] and Ginger Puree|Soup|[]|['Gastrointestinal Issues', 'Others']|['salt', 'liquorice', 'jujubes', 'Sprouting ginger']|['condiment' 'chinese_medicinal_material' 'fruit']
Fennel Puree|Soup|[]|['General Health and Wellness', 'Gastrointestinal Issues']|['salt', 'liquorice', 'prepared mandarin orange peel', 'Sichuan pagoda tree [Melia toosendan] fruits', 'Fennel']|['condiment' 'chinese_medicinal_material' 'plant']
Puree for Stagnant Qi|Soup|[]|['General Health and Wellness', 'Gastrointestinal Issues', 'Respiratory Issues']|['salt', 'liquorice', 'muxiang [root of Vladimiria souliei or Saussurea lappa]', 'turmeric', 'kueihua [Osmanthus fragrans] flowers', 'prepared mandarin orange peel', 'cubebs [Litsea cubeba]', 'lesser galangal', 'fennel', 'Apricot kernels']|['condiment' 'chinese_medicinal_material' 'plant' 'spice']
Oriental Flowering Apricot [Prunus mume] Puree|Soup|[]|['Heat-clearing', 'Others', 'Gastrointestinal Issues']|['salt', 'liquorice', 'white sandalwood', 'Salted oriental flowering apricots']|['condiment' 'chinese_medicinal_material' 'fruit']
Chinese Quince [Chaenomeles sinensis] Puree|Soup|['Simmer']|['General Health and Wellness', 'Musculoskeletal Issues', 'Others']|['crystallized honey', 'Chinese quinces']|['other' 'fruit']
Detoxifying Dried Orange Peel Puree|Soup|[]|['Others']|['salt', 'cardamom kernel', 'ginseng', 'mungbean flower', 'kudzu flower', 'sandalwood', 'prepared mandarin orange peel', '[Prepared] fragrant orange [Citrus sinensis] peel']|['condiment' 'chinese_medicinal_material' 'plant']
Qatiq Cakes|Pancake|[]|['Gastrointestinal Issues', 'Respiratory Issues']|['white nabat', 'acorus root', 'Korean ginseng', 'Qatiq']|plant
Cinnamon Qatiq Cakes|Pancake|[]|['Gastrointestinal Issues', 'Respiratory Issues']|['white nabat', 'Korean ginseng', 'qatiq', 'Cinnamon']|chinese_medicinal_material
Tabilqa Cakes|Pancake|['Simmer']|['Others', 'Respiratory Issues', 'Gastrointestinal Issues']|['finely powdered', 'two qian', 'Tabilqa']|['other' 'chinese_medicinal_material']
Fragrant Orange Aromatic Cakes|Pancake|[]|['General Health and Wellness', 'Others']|['musk deer musk', 'baroos camphor [Dryobalanops aromatica resin]', 'southern borax', 'cubebs', 'cardamom kernel', 'grain-of-paradise', 'white sandalwood', 'garuwood', 'New fragrant orange peel']|['chinese_medicinal_material' 'other' 'vegetable']
Cow Medullae Paste|Paste|[]|['General Health and Wellness', 'Musculoskeletal Issues', 'Others']|['oil from cow skull marrow', 'Chinese asparagus [Asparagus lucidus or A. cojinjinensis] paste', 'Chinese foxglove [Rehmannia glutinosa] paste', 'Solomon’s seal [Polygonatum cirrhifolium or P. multiflorum] paste']|['meat' 'chinese_medicinal_material']
Chinese Quince Concentrate|Pan-fry|['Pan-fry', 'Simmer']|[]|['white granulated sugar', 'Chinese quinces']|['condiment' 'fruit']
Citron [including Citrus medica, also C. medica var. sarcodactylis] Concentrate|Pan-fry|['Pan-fry', 'Simmer']|[]|['white granulated sugar', 'Citrons']|['condiment' 'chinese_medicinal_material']
Hazelnut Concentrate|Pan-fry|['Pan-fry', 'Simmer']|[]|['white granulated sugar', 'Hazelnuts']|['condiment' 'other']
Purple Perilla Concentrate|Pan-fry|['Pan-fry', 'Simmer']|[]|['white granulated sugar', 'dried Chinese quince', 'Purple perilla leaf']|['condiment' 'fruit' 'plant']
Kumquat [Fortunella margarita] Concentrate|Pan-fry|['Pan-fry', 'Simmer']|[]|['white granulated sugar', 'Kumquats']|['condiment' 'fruit']
Cherry [Prunus pseudocerasus] Concentrate|Pan-fry|['Pan-fry', 'Simmer']|[]|['white granulated sugar', 'Cherries']|['condiment' 'fruit']
Peach Concentrate|Pan-fry|['Pan-fry', 'Simmer']|[]|['crystallized honey', 'Large peaches']|['other' 'fruit']
Pomegranate Syrup|Thick liquid|['Pan-fry', 'Simmer']|[]|['white sugar', 'Pomegranate seeds']|fruit
Rose [Rosa laevigata and other Rosa spp.] Hips Concentrate|Pan-fry|['Pan-fry', 'Simmer']|[]|['crystallized honey', 'Rose hips']|['other' 'fruit']
Red Currant Sharba[t]|Dish|['Pan-fry', 'Simmer']|[]|['white granulated sugar', 'Fresh northern red currants']|['condiment' 'chinese_medicinal_material']
Cicigina (a kind of Suanci [Ziziphus spp.])|Dish|['Simmer']|[]|['Cicigina']|other
Pine Seed Oil|Oil|['Simmer']|[]|['Pine seeds']|grain
Apricot Seed Oil|Oil|['Simmer', 'Boil']|[]|['Apricot seeds']|fruit
Liquid Butter|Oil|['Simmer']|[]|[]|[]
Ghee|Oil|['Pan-fry', 'Simmer']|[]|[]|[]
Mäskä Oil|Oil|[]|[]|[]|[]
Chinese Matrimony Vine Fruit Tea|Tea|['Bake']|[]|[]|[]
Jade Mortar Tea|Tea|[]|[]|[]|[]
Golden Characters Tea|Tea|[]|[]|[]|[]
Mr. Fan Tianshuai’s Tea|Tea|[]|[]|[]|[]
Purple Shoots Sparrow Tongue Tea|Tea|[]|[]|[]|[]
Nüxuer Tea|Dish|[]|[]|[]|[]
Tibetan Tea|Tea|[]|[]|[]|[]
Sichuan Tea, Rattan Tea, Kua Tea|Tea|[]|[]|[]|[]
Swallow Tail Tea|Tea|[]|[]|[]|[]
Children’s Tea [Catechu]|Tea|[]|[]|[]|[]
Warm Mulberry Tea|Tea|[]|[]|[]|[]
Clear Tea|Tea|['Pan-fry']|[]|[]|[]
Roasted Tea|Tea|['Roast', 'Stir-fry']|[]|[]|[]
Orchid Paste|Paste|[]|[]|[]|[]
Süttiken|Dish|[]|[]|[]|[]
Fortified Broth|Soup|[]|[]|[]|[]
Aromatic Tea|Tea|['Simmer']|[]|[]|[]
Mastajhi [Mastic] Soup|Soup|['Simmer']|['General Health and Wellness']|['chickpeas [“Muslim beans”]', 'cinnamon', 'tsaoko cardamoms', 'Mutton']|['chinese_medicinal_material' 'meat']
Barley Soup|Soup|['Simmer']|['General Health and Wellness', 'Gastrointestinal Issues', 'Others']|['hulled barley', 'tsaoko cardamoms', 'Mutton']|['chinese_medicinal_material' 'meat']
Bal–po Soup |Soup|['Simmer']|['General Health and Wellness', 'Others', 'Respiratory Issues']|['Chinese radish', 'chickpeas', 'tsaoko cardamoms', 'Mutton']|['vegetable' 'plant' 'meat']
Šaqimur [Rape Turnip] Soup|Soup|['Simmer']|['General Health and Wellness', 'Others', 'Gastrointestinal Issues']|['aqimur', 'chickpeas', 'tsaoko cardamoms', 'Mutton']|['chinese_medicinal_material' 'plant' 'meat']
Fenugreek Seed Soup|Soup|['Simmer']|['General Health and Wellness', 'Musculoskeletal Issues']|['fenugreek seeds', 'tsaoko cardamoms', 'Mutton']|['plant' 'meat']
Chinese Quince Soup|Soup|[]|['General Health and Wellness', 'Musculoskeletal Issues', 'Others']|['chickpeas', 'tsaoko cardamoms', 'Mutton']|['plant' 'meat']
Deer Head Soup|Soup|['Stir-fry', 'Simmer']|['General Health and Wellness', 'Gastrointestinal Issues', 'Others']|['Deer’s head [and] hooves']|meat
Pine Pollen [Juice] Soup|Soup|['Stir-fry', 'Simmer']|['General Health and Wellness', 'Musculoskeletal Issues']|['chickpeas', 'tsaoko cardamoms', 'Mutton']|['plant' 'meat']
Russian Olive [Fruit] Soup|Soup|['Simmer']|['General Health and Wellness', 'Gastrointestinal Issues']|['chickpeas', 'tsaoko cardamoms', 'Mutton']|['plant' 'meat']
Barley Samsa Noodles|Rice noodles|['Stir-fry', 'Simmer']|['General Health and Wellness', 'Gastrointestinal Issues']|['chickpeas', 'tsaoko cardamoms', 'Mutton']|['plant' 'meat']
Barley Strip–Noodles|Rice noodles|['Simmer']|['General Health and Wellness', 'Gastrointestinal Issues']|['lesser galangal [Alpinia officinarum]', 'tsaoko Cardamoms', 'Mutton']|meat
Glutinous Rice Flour Chöp|Rice noodles|['Simmer']|['General Health and Wellness']|['lesser galangal', 'tsaoko cardamoms', 'Mutton']|['spice' 'meat']
River Pig Broth|Thick soup|['Deep-fry', 'Simmer']|['General Health and Wellness']|['tsaoko cardamoms', 'Mutton']|meat
Achchiq [“Bitter”] Soup|Soup|['Simmer']|['General Health and Wellness']|['lesser galangal', 'tsaoko cardamoms', 'Mutton']|['spice' 'meat']
Euryale Flour Swallow’s Tongue Qizi|Rice noodles|['Stir-fry', 'Simmer']|['General Health and Wellness']|['chickpeas', 'tsaoko cardamoms', 'Mutton']|['plant' 'meat']
Euryale Flour Blood Noodles|Rice noodles|['Stir-fry', 'Simmer']|['General Health and Wellness']|['chickpeas', 'tsaoko cardamoms', 'Mutton']|['plant' 'meat']
Euryale Flour Jüzmä|Rice noodles|['Stir-fry', 'Simmer']|['General Health and Wellness']|['chickpeas', 'tsaoko cardamoms', 'Mutton']|['plant' 'meat']
Euryale Flour Chöp|Rice noodles|['Simmer']|['General Health and Wellness']|['lesser galangal', 'tsaoko cardamoms', 'Mutton']|['spice' 'meat']
Euryale Flour Hundun|Wonton|['Stir-fry', 'Simmer']|['General Health and Wellness']|['chickpeas', 'tsaoko cardamoms', 'Mutton']|['plant' 'meat']
Sundry Broth|Thick soup|['Stir-fry', 'Simmer', 'Boil']|['General Health and Wellness']|['chickpeas', 'tsaoko cardamoms', 'Mutton']|['plant' 'meat']
Meat and Vegetable Broth|Thick soup|['Stir-fry', 'Pan-fry', 'Simmer']|['General Health and Wellness']|['chickpeas', 'tsaoko cardamoms', 'Mutton']|['plant' 'meat']
Pearl Noodles|Rice noodles|['Stir-fry', 'Pan-fry', 'Simmer']|['General Health and Wellness']|['chickpeas', 'tsaoko cardamoms', 'Mutton']|['plant' 'meat']
Yellow Soup|Soup|['Simmer']|['General Health and Wellness']|['chickpeas', 'tsaoko cardamoms', 'Mutton']|['plant' 'meat']
Three in the Cooking Pot|Dish|['Simmer']|['General Health and Wellness']|['lesser galangal', 'tsaoko cardamoms', 'Mutton']|['spice' 'meat']
Mallow Leaf Broth|Thick soup|[]|['Gastrointestinal Issues', 'General Health and Wellness', 'Others']|['lesser galangal', 'tsaoko cardamoms', 'Mutton']|['spice' 'meat']
Long Bottle Gourd [Lagenaria siceraria var. depressa] Soup|Soup|['Stir-fry', 'Simmer']|['Others', 'Gastrointestinal Issues']|['tsaoko cardamoms', 'Mutton']|meat
Turtle Soup|Soup|['Stir-fry', 'Simmer', 'Boil']|['Others', 'Musculoskeletal Issues']|['tsaoko cardamoms', 'Mutton']|meat
Cup Steamed|Dish|['Stir-fry', 'Steam']|['General Health and Wellness']|['prepared mandarin orange peel', 'lesser galangal', 'tsaoko cardamoms', 'or mutton', 'Sheep’s back skin from which the hair has been removed']|['plant' 'spice' 'chinese_medicinal_material']
Oil Rape Shoots Broth|Thick soup|['Simmer']|['General Health and Wellness']|['lesser galangal', 'tsaoko cardamoms', 'Mutton']|['spice' 'meat']
Bear Soup|Soup|[]|['Neurological and Mental Health', 'Others']|['tsaoko cardamoms', 'Bear meat']|meat
Roast Wolf Soup|Soup|['Simmer']|['General Health and Wellness']|['paradise', 'of', 'grain', 'long pepper', 'kasni', 'black pepper', 'tsaoko cardamoms', 'Wolf meat']|['spice' 'chinese_medicinal_material' 'plant' 'meat']
Ishkäne|Dish|['Stir-fry']|['General Health and Wellness']|['eggs', 'sweet melon pickles', 'pickled ginger', 'cheeses', 'sprouting ginger', 'cucumbers', 'cattail rhizome [Typha sp]', 'sacred lotus rhizome', '. Cut into long strips', '[cook]. When done cut up finely', 'two', 'sheep’s tail', 'Mutton']|['meat' 'vegetable' 'spice' 'grain']
Chöppün Noodles|Noodles|[]|['General Health and Wellness']|['sprouting ginger', 'eggs', 'one set each of sheep intestines and lungs', 'cut into strip qima [and stuff vermicelli]', 'cook. When done', 'two legs', 'mutton', 'White flour']|['vegetable' 'meat' 'grain']
Black Broth Noodles|Noodles|['Braise', 'Simmer']|['General Health and Wellness']|['sheep’s thorax', 'White flour']|grain
Chinese Yam Noodles|Noodles|['Stir-fry', 'Boil']|['General Health and Wellness']|['bean paste', 'juice of sprouting ginger', 'eggs', 'White flour']|['meat' 'juice' 'grain']
Hanging Noodles|Noodles|[]|['General Health and Wellness']|['pickled ginger', 'eggs', 'g [mushrooms]', 'm', 'hanging noodles', 'Mutton']|['spice' 'meat' 'fruit' 'other' 'grain']
Jingtei Noodles|Noodles|[]|['General Health and Wellness']|['leg', 'Mutton']|meat
Sheep’s Skin Noodles|Noodles|[]|['General Health and Wellness']|['previous ingredients] like “armor scales”', 'cook. Cut up each [i.e', 'four', 'sheep’s loins', 'sheep’s tongues', 'Sheep’s skins']|['meat' 'chinese_medicinal_material']
Tutum Ash (This is a kind of kneaded noodle)|Dish|['Stir-fry']|['General Health and Wellness']|['mutton', 'White flour']|grain
Fine Salma (same as “Thin Silk Border” Salma)|Dish|[]|['General Health and Wellness']|['roast the meat. [Make into] quruq qima [and stuff salma]', 'two legs', 'mutton', 'White flour']|grain
Water Dragon Qizi|Dish|[]|['General Health and Wellness']|['sweet melon pickles', 'carrots', 'pickled ginger', 'Chinese yams', 'eggs', '[stuff qizi with qima]', 'six jin. [Make dough and] cut into “cash eye qizi”', 'white flour', 'Mutton']|['vegetable' 'meat' 'spice']
[U]mach (a kind of hand twisted noodle. It can be glutinous rice flour or euryale flour.)|Dish|['Stir-fry']|['General Health and Wellness']|['six jin', 'White flour']|grain
Shoyla Toyym|Dish|['Stir-fry']|['General Health and Wellness']|['carrots', 'g [mushrooms]', 'm', 'Chinese yams', 'sheep’s tongues', 'mutton', 'White flour']|['meat' 'fruit' 'other' 'grain']
Qima Congee|Conge|['Simmer']|['Gastrointestinal Issues', 'General Health and Wellness']|['leg', 'Mutton']|meat
Soup Congee|Conge|['Simmer']|['Gastrointestinal Issues']|['Mutton']|meat
Millet Insipid Congee|Conge|['Simmer']|['General Health and Wellness']|['Millet grains']|grain
Qamh [Triticum durum] Soup|Conge|['Simmer']|['General Health and Wellness']|['qamh', 'Mutton']|['grain' 'meat']
Se-aBru [Pomegranate] Soup (This is the name of a Western Indian Food)|Soup|['Roast', 'Stir-fry', 'Simmer']|['General Health and Wellness', 'Gastrointestinal Issues', 'Musculoskeletal Issues']|['kasni', 'sprouting ginger', 'cinnamon', 'tsaoko cardamoms', 'Mutton']|['plant' 'vegetable' 'chinese_medicinal_material' 'meat']
Broiled Sheep’s Heart|Dish|['Broil']|['General Health and Wellness']|['za’faran', 'Sheep’s heart']|['chinese_medicinal_material' 'meat']
Broiled Sheep’s Loins|Dish|['Broil']|['Musculoskeletal Issues']|['za’faran', 'Sheep’s loins']|chinese_medicinal_material
Deboned Chicken Morsels|Dish|['Stir-fry', 'Boil']|[]|['[wheat] flour', 'finely ground Chinese flower pepper', 'finely ground ginger', 'onions', 'juice of sprouting ginger', 'Fat chickens']|['spice' 'vegetable' 'juice' 'meat']
